MES,FITNESS,CAPACIDAD_TOTAL,KM_EXTRA,KM_TENDENCIA,SOBRANTE,VACIAS,LLENAS,BICIS TOTAL,PERDIDOS,CAPACIDAD,IBASE-CAPACIDADES_MEJOR
01_2021,2556,5089,0,2546,1,5603,4209,2523,10390,[20 25 15 20 20 19 20 29 17 20 15 20 20 18 16 15 17 30 15 18 20 20 15 20 20 15 40 20 20 30 20 20 15 40 20 20 30 20 19 15 18 20 15 20 20 15 15 15 19 20 20 20 19 40 20 15 20 20 20 40 19 18 15 20 15 14 30 15 10 15 12 20 20 15 14 20 20 17 18 15 15 30 20 15 20 20 15 15 20 14 17 20 20 15 39 27 15 16 15 15 20 15 20 20 20 20 20 20 20 20 20 20 20 30 15 15 20 16 17 20 20 20 15 20 40 40 19 40 20 20 20 15 20 20 15 20 13 20 20 40 15 20 18 20 15 20 15 30 20 15 18 15 20 15 15 20 15 20 15 15 18 20 15 30 40 20 15 20 20 15 20 20 20 15 15 15 13 20 20 14 20 20 15 15 20 15 20 18 15 18 20 15 14 20 20 15 15 15 18 20 20 20 15 15 15 30 15 15 20 20 15 18 25 30 15 15 17 15 20 20 20 17 20 20 20 20 20 20 20 20 20 15 15 15 20 20 20 15 15 30 20 20 15 37 19 15 20 30 20 24 40 20 20 14 20 17 15 18 20 30 ],[-5 -3 0 -2 -1 -3 0 0 1 0 2 0 -4 0 0 1 -2 0 0 1 -3 0 -1 1 0 0 1 2 0 0 0 0 0 0 0 0 -1 0 -3 0 0 -3 3 0 0 0 -2 0 -2 2 -1 0 0 0 0 -1 2 1 0 -4 -2 -3 0 3 0 2 -3 -8 -1 1 0 1 0 3 0 -1 0 0 0 3 0 -3 0 0 0 1 0 -1 0 0 -1 0 1 0 0 -4 0 -6 0 -1 0 2 -2 0 0 -1 0 3 0 3 0 2 0 0 0 0 0 0 0 -3 -3 0 -3 2 0 0 0 3 2 -1 0 0 0 2 0 0 1 0 -1 0 -1 0 0 3 0 0 0 0 -1 3 2 2 -1 3 0 2 -6 -4 3 0 -1 -3 -3 0 0 -2 -3 0 -1 3 2 -3 2 -2 0 2 -2 -3 2 2 -3 0 -2 0 1 -3 2 0 0 3 -1 -2 0 2 0 -1 -6 0 0 2 1 0 -3 1 0 -2 -5 -1 -3 1 -1 0 -1 0 0 -3 -1 0 0 -3 -1 0 0 -1 0 0 0 0 0 -1 0 0 0 0 -1 -3 0 0 0 0 7 -2 -3 2 -3 3 2 0 2 0 8 -3 2 -1 -3 -3 0 0 0 0 ]
01_2021,0,5089,0,0,0,0,0,2523,0,[20 25 15 20 20 19 20 29 17 20 15 20 20 18 16 15 17 30 15 18 20 20 15 20 20 15 40 20 20 30 20 20 15 40 20 20 30 20 19 15 18 20 15 20 20 15 15 15 19 20 20 20 19 40 20 15 20 20 20 40 19 18 15 20 15 14 30 15 10 15 12 20 20 15 14 20 20 17 18 15 15 30 20 15 20 20 15 15 20 14 17 20 20 15 39 27 15 16 15 15 20 15 20 20 20 20 20 20 20 20 20 20 20 30 15 15 20 16 17 20 20 20 15 20 40 40 19 40 20 20 20 15 20 20 15 20 13 20 20 40 15 20 18 20 15 20 15 30 20 15 18 15 20 15 15 20 15 20 15 15 18 20 15 30 40 20 15 20 20 15 20 20 20 15 15 15 13 20 20 14 20 20 15 15 20 15 20 18 15 18 20 15 14 20 20 15 15 15 18 20 20 20 15 15 15 30 15 15 20 20 15 18 25 30 15 15 17 15 20 20 20 17 20 20 20 20 20 20 20 20 20 15 15 15 20 20 20 15 15 30 20 20 15 37 19 15 20 30 20 24 40 20 20 14 20 17 15 18 20 30 ],[-5 -3 0 -2 -1 -3 0 0 1 0 2 0 -4 0 0 1 -2 0 0 1 -3 0 -1 1 0 0 1 2 0 0 0 0 0 0 0 0 -1 0 -3 0 0 -3 3 0 0 0 -2 0 -2 2 -1 0 0 0 0 -1 2 1 0 -4 -2 -3 0 3 0 2 -3 -8 -1 1 0 1 0 3 0 -1 0 0 0 3 0 -3 0 0 0 1 0 -1 0 0 -1 0 1 0 0 -4 0 -6 0 -1 0 2 -2 0 0 -1 0 3 0 3 0 2 0 0 0 0 0 0 0 -3 -3 0 -3 2 0 0 0 3 2 -1 0 0 0 2 0 0 1 0 -1 0 -1 0 0 3 0 0 0 0 -1 3 2 2 -1 3 0 2 -6 -4 3 0 -1 -3 -3 0 0 -2 -3 0 -1 3 2 -3 2 -2 0 2 -2 -3 2 2 -3 0 -2 0 1 -3 2 0 0 3 -1 -2 0 2 0 -1 -6 0 0 2 1 0 -3 1 0 -2 -5 -1 -3 1 -1 0 -1 0 0 -3 -1 0 0 -3 -1 0 0 -1 0 0 0 0 0 -1 0 0 0 0 -1 -3 0 0 0 0 7 -2 -3 2 -3 3 2 0 2 0 8 -3 2 -1 -3 -3 0 0 0 0 ]
01_2021,1954,5158,108,1835,1,4803,2384,2523,7999,[25 28 15 22 21 22 20 29 16 20 13 20 24 18 16 14 19 30 15 17 23 20 16 19 20 15 39 18 20 30 20 20 15 40 20 20 31 20 22 15 18 23 12 20 20 15 17 15 21 18 21 20 19 40 20 16 18 19 20 44 21 21 15 17 15 12 33 23 11 14 12 19 20 12 14 21 20 17 18 12 15 33 20 15 20 19 15 16 20 14 18 20 19 15 39 31 15 22 15 16 20 13 22 20 20 21 20 17 20 17 20 18 20 30 15 15 20 16 17 23 23 20 18 18 40 40 19 37 18 21 20 15 20 18 15 20 12 20 21 40 16 20 18 17 15 20 15 30 21 12 16 13 21 12 15 18 21 24 12 15 19 23 18 30 40 22 18 20 21 12 18 23 18 17 15 13 15 23 18 12 23 20 17 15 19 18 18 18 15 15 21 17 14 18 20 16 21 15 18 18 19 20 18 14 15 32 20 16 23 19 16 18 26 30 15 18 18 15 20 23 21 17 20 21 20 20 20 20 20 21 20 15 15 15 21 23 20 15 15 30 13 22 18 35 22 12 18 30 18 24 32 23 18 15 23 20 15 18 20 30 ],[-5 -3 0 -2 -1 -3 0 0 1 0 2 0 -4 0 0 1 -2 0 0 1 -3 0 -1 1 0 0 1 2 0 0 0 0 0 0 0 0 -1 0 -3 0 0 -3 3 0 0 0 -2 0 -2 2 -1 0 0 0 0 -1 2 1 0 -4 -2 -3 0 3 0 2 -3 -8 -1 1 0 1 0 3 0 -1 0 0 0 3 0 -3 0 0 0 1 0 -1 0 0 -1 0 1 0 0 -4 0 -6 0 -1 0 2 -2 0 0 -1 0 3 0 3 0 2 0 0 0 0 0 0 0 -3 -3 0 -3 2 0 0 0 3 2 -1 0 0 0 2 0 0 1 0 -1 0 -1 0 0 3 0 0 0 0 -1 3 2 2 -1 3 0 2 -6 -4 3 0 -1 -3 -3 0 0 -2 -3 0 -1 3 2 -3 2 -2 0 2 -2 -3 2 2 -3 0 -2 0 1 -3 2 0 0 3 -1 -2 0 2 0 -1 -6 0 0 2 1 0 -3 1 0 -2 -5 -1 -3 1 -1 0 -1 0 0 -3 -1 0 0 -3 -1 0 0 -1 0 0 0 0 0 -1 0 0 0 0 -1 -3 0 0 0 0 7 -2 -3 2 -3 3 2 0 2 0 8 -3 2 -1 -3 -3 0 0 0 0 ]
